date,opponent,game_type,time,period,etype,team,player,result,points,type,x,y
20081028,POR,home,12:00,1,jump ball,OFF,,,0,,,
20081028,POR,home,11:39,1,shot,LAL,Pau Gasol,missed,0,hook,23,13
20081028,POR,home,11:37,1,rebound,LAL,Vladimir Radmanovic,,0,off,,
20081028,POR,home,11:25,1,shot,LAL,Derek Fisher,missed,0,layup,25,6
20081028,POR,home,11:23,1,rebound,LAL,Pau Gasol,,0,off,,
20081028,POR,home,11:22,1,shot,LAL,Pau Gasol,made,2,hook,25,10
20081028,POR,home,11:22,1,foul,POR,Greg Oden,,0,shooting,,
20081028,POR,home,11:22,1,free throw,LAL,Pau Gasol,made,1,,,
20081028,POR,home,11:00,1,foul,LAL,Vladimir Radmanovic,,0,personal,,
20081028,POR,home,10:53,1,shot,POR,LaMarcus Aldridge,made,2,jump,36,21
20081028,POR,home,10:45,1,shot,LAL,Derek Fisher,made,2,pullup jump,30,21
20081028,POR,home,10:32,1,shot,POR,LaMarcus Aldridge,missed,0,jump,34,10
20081028,POR,home,10:31,1,rebound,LAL,Kobe Bryant,,0,def,,
20081028,POR,home,10:21,1,shot,LAL,Pau Gasol,made,2,jump,15,17
20081028,POR,home,10:04,1,shot,POR,Travis Outlaw,made,2,jump,46,9
20081028,POR,home,9:50,1,shot,LAL,Andrew Bynum,missed,0,jump,21,10
20081028,POR,home,9:48,1,rebound,LAL,Kobe Bryant,,0,off,,
20081028,POR,home,9:41,1,shot,LAL,Pau Gasol,made,2,jump,39,9
20081028,POR,home,9:24,1,shot,POR,Brandon Roy,missed,0,driving layup,25,6
20081028,POR,home,9:21,1,rebound,POR,Greg Oden,,0,off,,
20081028,POR,home,9:20,1,shot,POR,Greg Oden,missed,0,layup,25,6
20081028,POR,home,9:20,1,rebound,POR,Greg Oden,,0,off,,
20081028,POR,home,9:20,1,foul,LAL,Andrew Bynum,,0,personal,,
20081028,POR,home,9:11,1,shot,POR,Greg Oden,missed,0,jump,20,9
20081028,POR,home,9:09,1,rebound,LAL,Vladimir Radmanovic,,0,def,,
20081028,POR,home,9:04,1,foul,POR,Steve Blake,,0,personal,,
20081028,POR,home,8:51,1,shot,LAL,Andrew Bynum,missed,0,jump,26,12
20081028,POR,home,8:50,1,rebound,POR,Travis Outlaw,,0,def,,
20081028,POR,home,8:39,1,shot,POR,Brandon Roy,missed,0,jump,36,18
20081028,POR,home,8:38,1,rebound,LAL,Andrew Bynum,,0,def,,
20081028,POR,home,8:15,1,turnover,LAL,Kobe Bryant,,0,,,
20081028,POR,home,8:08,1,shot,POR,Brandon Roy,missed,0,layup,25,6
20081028,POR,home,8:07,1,rebound,LAL,Derek Fisher,,0,def,,
20081028,POR,home,8:00,1,shot,LAL,Derek Fisher,made,2,driving finger roll layup,25,6
20081028,POR,home,7:49,1,timeout,POR,,,0,regular,,
20081028,POR,home,7:31,1,shot,POR,Greg Oden,missed,0,jump,30,15
20081028,POR,home,7:30,1,rebound,POR,LaMarcus Aldridge,,0,off,,
20081028,POR,home,7:24,1,foul,POR,Greg Oden,,0,offensive,,
20081028,POR,home,7:24,1,turnover,POR,Greg Oden,,0,,,
20081028,POR,home,7:24,1,sub,POR,,,0,,,
20081028,POR,home,7:07,1,shot,LAL,Pau Gasol,made,2,layup,25,6
20081028,POR,home,6:53,1,turnover,POR,Steve Blake,,0,,,
